ID_Pedido,Fecha_Pedido,Ciudad_Destino,Zona_Entrega,Tipo_Flor,Variedad_Flor,Calidad_Producto,Cantidad_Tallos,Precio_Unitario_USD,Canal_Venta,Cliente_Corporativo,Metodo_Pago,Estado_Pedido,Costo_Envio_USD,Tipo_Empaque,Peso_Kg,Temperatura_Contenedor_C,Humedad_Relativa_Pct,Dias_En_Florero_Garantizados,Codigo_Arancelario,Inspeccion_Fitosanitaria,Sello_Sostenibilidad,Id_Cultivo_Origen,Calificacion_Cliente,Comentario_Cliente_PQRS,Dias_Atraso_Entrega,Diferencia_Tallos_Facturados_vs_Recibidos,Alerta_Ruptura_Cadena_Frio,Requiere_Soporte_Legal_Aduana,Total_Venta_USD,Categoria_PQRS_Validada
FAC-100000,2025-11-24,Cali,Zona Industrial,Clavel,Clavel Exportación,Estándar,504,0.67,E-commerce,Cliente_6,Transferencia Bancaria,En Tránsito,179.39,Caja Master,59.82,2.5,95,16,0603.12.00,Aprobado,Rainforest Alliance,FINCA-4,3,Requiero catálogo de nuevas variedades de hortensias,0,0,NO,NO,517.07,Petición
FAC-100001,2025-02-27,Pereira,Zona Cafetera,Girasol,Girasol Exportación,Premium,2892,1.73,Exportación EE.UU.,Cliente_44,Carta de Crédito,Retenido en Aduana,161.89,Procon (Balde),26.07,5.4,96,9,0603.12.00,Rechazado,Ninguno,FINCA-2,3,Faltaron 5 docenas de claveles en la caja master,0,0,NO,SI,5165.05,Petición
FAC-100002,2025-01-13,Cali,Yumbo,Orquídea,Orquídea Exportación,Segunda,240,0.21,Distribuidor Mayorista,Cliente_3,Tarjeta de Crédito,En Tránsito,169.86,Caja Master,38.17,4.9,76,15,0603.12.00,Rechazado,Florverde,FINCA-2,3,Requiero catálogo de nuevas variedades de hortensias,0,48,SI,SI,220.26,Reclamo
FAC-100003,2026-01-15,Cali,Zona Industrial,Girasol,Girasol Exportación,Premium,6000,1.51,E-commerce,Cliente_30,Transferencia Bancaria,En Tránsito,253.69,Procon (Balde),46.01,8.9,87,17,0603.11.00,Rechazado,Florverde,FINCA-2,4,Cobro injustificado de tarifa logística en la factura,0,0,SI,SI,9313.69,Reclamo
FAC-100004,2025-05-21,Pereira,Dosquebradas,Orquídea,Orquídea Exportación,Estándar,1620,0.83,Distribuidor Mayorista,Cliente_30,Transferencia Bancaria,En Tránsito,212.98,Ramo Individual,46.34,8.8,93,18,0603.11.00,Aprobado,Ninguno,FINCA-4,2,Demora de más de 3 horas en la línea de atención,0,0,SI,NO,1557.58,Reclamo
FAC-100005,2025-05-06,Bogotá,Sabana Occidente,Rosa,Rosa Exportación,Segunda,2628,0.89,E-commerce,Cliente_11,Transferencia Bancaria,Entregado,246.0,Caja Master,41.9,8.8,81,19,0603.12.00,Rechazado,Ninguno,FINCA-4,3,Faltaron 5 docenas de claveles en la caja master,5,0,SI,SI,2584.92,Reclamo
FAC-100006,2025-04-25,Cali,Yumbo,Rosa,Rosa Exportación,Estándar,1308,1.6,Distribuidor Mayorista,Cliente_11,Carta de Crédito,Entregado,203.68,Caja Master,24.37,3.9,86,11,0603.12.00,Aprobado,Florverde,FINCA-4,4,Demora de más de 3 horas en la línea de atención,0,0,NO,NO,2296.48,Queja
FAC-100007,2025-03-13,Cali,Palmira,Rosa,Rosa Exportación,Segunda,396,1.6,Mercado Local,Cliente_10,Carta de Crédito,Retenido en Aduana,93.97,Caja Master,20.75,6.3,78,14,0603.11.00,Aprobado,Ninguno,FINCA-5,4,Mala atención en el counter de despacho,0,0,SI,SI,727.57,Reclamo
FAC-100008,2026-01-13,Cali,Yumbo,Clavel,Clavel Exportación,Segunda,5532,0.68,Mercado Local,Cliente_36,Efectivo,Pendiente,203.82,Ramo Individual,10.49,5.1,89,5,0603.11.00,Aprobado,Rainforest Alliance,FINCA-3,2,Cobro injustificado de tarifa logística en la factura,7,0,NO,NO,3965.58,Reclamo
FAC-100009,2025-02-22,Bogotá,Zona Sur,Girasol,Girasol Exportación,Premium,3936,0.19,Exportación EE.UU.,Cliente_30,PayPal,Cancelado,291.82,Caja Master,6.01,2.8,83,6,0603.12.00,Rechazado,Rainforest Alliance,FINCA-3,2,Faltaron 5 docenas de claveles en la caja master,0,0,SI,SI,1039.66,Reclamo
